date 8,date time,attacker id,att name,att power,att team,defender id,def name,def power,team,points,attacker patronage,defender patronage,att team id,def team id
20250306,06/03 21:14,4598759,Rompehuesos,1142635,Bis Hel Ori Mor Yas Mrk,4367578,nanpasen,841582,Ast K'A Yas Ori Mar Axe,20,Bis(11064) Mer(11064) Axe(11064) Cai(11064) Oli(11064),Oli(9292) Vex(3477) Alb(9292) Mer(3933) Axe(9292),183303,36637
20250306,06/03 21:25,4868542,stratis,1082486,Kho Aug Ori Neb Isa Aur,4438023,Super Monkey,991740,Dan Cel Neb Ori Faf Oli,20,Alb(11064) Mer(11064)  ###  Axe(11064) Cai(11064),Cai(9018) Axe(11064)  ###  Mer(9018) Oli(11064),183303,36637
20250306,06/03 18:09,23402789,Ragto,1131886,Kho Dor Aug Ori Neb Dan,4558141,Seven Stars,490246,Gal Yas Nin May Iri Oli,20,Mer(10252) Axe(11064) Bis(11064)  ###  Cai(11064),Alb(2686) Cai(1513) Fen(2979) Bis(2193) Oli(4969),183303,36637
20250306,06/03 21:13,4598759,Rompehuesos,1182477,Mer Hel Ori Dan Yas Mrk,4706427,ASTA,772581,Krv Yas Dan Mor Cel Oli,20,Bis(11064) Mer(11064) Fen(11064) Cai(11064) Oli(11064),Oli(7868) Cai(5116) Fen(4503) Axe(4033) Bis(3475),183303,36637
20250306,06/03 16:21,4668830,TrumpReturns,1105948,Axe LaC Seb Kai K'A Aur,4709432,Team 4709432,564440,Jul Gal Dan Cel Aid Oli,20,Mar(9018) Alb(11064) Axe(11064) Vex(11064) Cai(11064),Oli(8622) Fen(2907) Cai(2727) Kho(2907) Mer(1628),183303,36637
20250306,06/03 14:05,4208957,patlacoche,1173728,Axe Ori Seb Dan K'A Krv,4826570,Aquaball,884115,Krv Gal Yas Art The Alb,20,Mar(11064) Oli(11064) Fen(11064) Vex(9428) Alb(11064),Oli(4308) Bis(7422) Fen(8288) Vex(2430) Axe(5651),183303,36637
20250306,06/03 13:16,4425955,Tobi,1148652,Axe Mar Hei Seb Jhu Dan,17266322,Tukasa,944636,Ast Yas Alv May Ara Bis,20,Oli(11064) Alb(11064) Fen(5417) Vex(10154) Cai(10154),Axe(4773) Cai(8518) Mer(3144) Bis(11064) Alb(11064),183303,36637
20250306,06/03 18:48,4668830,TrumpReturns,1146614,Axe Fac Seb Kai K'A Aur,4164472,S2000,1138720,Dan Seb Iri Pho Dor Axe,12,Bis(11064) Alb(11064) Axe(11064) Vex(11064) Cai(11064),Cai(11064) Oli(9018) Bis(5533) Axe(11064) Mer(7383),183303,36637
20250306,06/03 17:59,23402789,Ragto,1131886,Kho Dor Aug Ori Neb Dan,4164472,S2000,1138720,Dan Seb Iri Pho Dor Axe,8,Mer(10252) Axe(11064) Bis(11064)  ###  Cai(11064),Cai(11064) Oli(9018) Bis(5533) Axe(11064) Mer(7383),183303,36637
20250304,04/03 17:23,23402789,Ragto,1150436,Alb Dor Iri Hei Mor Krv,4181297,JimGlatze 2,979599,Ruf And Seb Hei Iri Alb,20,Mer(10252) Bis(11064) Alb(11064) Axe(11064) Oli(11064),Oli(6916) Fen(7052) Alb(11064) Cai(6894) Bis(6894),183303,37509
